"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
16347088,1429,107036922,"Entire home/apt",NA,"Boston",NA,"Back Bay",52,5,2,0,NA,165,NA,"Beautfiul Back Bay Loft with Amazing Views",2017-07-10 16:20:51,42.3526,-71.072005,"0101000020E61000008109DCBA9BC451C0E9482EFF212D4540"
5074924,1429,814298,"Entire home/apt",NA,"Boston",NA,"South End",56,4.5,2,0,NA,134,NA,"Sunny studio in Back Bay/So. End",2017-07-10 16:20:36,42.342373,-71.079223,"0101000020E6100000D38558FD11C551C04704E3E0D22B4540"
336946,1429,1713739,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",117,5,3,1,NA,125,NA,"Sweet, Solar, Garden Apartment",2017-07-10 16:20:22,42.288258,-71.113067,"0101000020E610000070D05E7D3CC751C0BA675DA3E5244540"
15256954,1429,97040637,"Entire home/apt",NA,"Boston",NA,"Downtown",65,4.5,3,1,NA,125,NA,"Charming one bedroom in Beacon Hill",2017-07-10 16:20:22,42.357795,-71.061363,"0101000020E6100000CE8B135FEDC351C00FD6FF39CC2D4540"
6296656,1429,9410008,"Entire home/apt",NA,"Boston",NA,"South Boston",88,5,5,2,NA,130,NA,"Brand New 2 BR | 1 BA in So. BOS #1",2017-07-10 16:20:19,42.33418,-71.044261,"0101000020E610000040DF162CD5C251C0187D0569C62A4540"
14586440,1429,1118374,"Entire home/apt",NA,"Boston",NA,"Downtown",76,4.5,3,1,NA,132,NA,"Statehouse | 1 Bedroom In Downtown Boston",2017-07-10 16:20:19,42.353231,-71.063822,"0101000020E6100000FBB0DEA815C451C0797764AC362D4540"
11371205,1429,21184200,"Entire home/apt",NA,"Boston",NA,"Back Bay",57,4.5,8,2,NA,125,NA,"Newbury Street Escape, Relaxing, Convenient, Cozy!",2017-07-10 16:19:53,42.349881,-71.082218,"0101000020E61000001F49490F43C551C0F33E8EE6C82C4540"
4573238,1429,5578043,"Entire home/apt",NA,"Boston",NA,"North End",85,4.5,6,2,NA,129,NA,"Best Boston location, 2BR (M #2)",2017-07-10 16:19:26,42.363887,-71.051992,"0101000020E6100000D5E940D653C351C0433866D9932E4540"
5267396,1429,5160525,"Entire home/apt",NA,"Boston",NA,"Mission Hill",115,4.5,2,1,NA,122,NA,"One Block from the Orange Line!",2017-07-10 16:19:23,42.331631,-71.095887,"0101000020E610000024473A0323C651C07EAB75E2722A4540"
11223924,1429,9410008,"Entire home/apt",NA,"Boston",NA,"North End",77,5,4,1,NA,130,NA,"North End 1 BR Gem in Little Italy",2017-07-10 16:19:21,42.363815,-71.05278,"0101000020E610000081785DBF60C351C0AA656B7D912E4540"
1042420,1429,5715872,"Entire home/apt",NA,"Boston",NA,"East Boston",66,4.5,3,2,NA,160,NA,"2 BR home easy access Airport and T",2017-07-10 16:21:17,42.383625,-71.020232,"0101000020E61000004A95287B4BC151C0C976BE9F1A314540"
15582521,1429,66533138,"Entire home/apt",NA,"Boston",NA,"North End",56,5,2,1,NA,170,NA,"North end and TD Garden Boston 1brm",2017-07-10 16:21:17,42.365605,-71.05688,"0101000020E6100000FAF202ECA3C351C086200725CC2E4540"
1197857,1429,1444340,"Entire home/apt",NA,"Boston",NA,"Roxbury",81,4.5,4,1,NA,167,NA,"Classic 1 bedroom on Tremont St - #6",2017-07-10 16:21:15,42.338524,-71.079846,"0101000020E6100000DAAD65321CC551C09F7422C1542B4540"
197972,1429,965697,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",278,5,3,1,NA,144,NA,"Super Studio-Fabulous Spot!",2017-07-10 16:21:15,42.317321,-71.108338,"0101000020E610000080BA8102EFC651C0C1AA7AF99D284540"
6316145,1429,32860113,"Entire home/apt",NA,"Boston",NA,"Fenway",116,5,2,1,NA,180,NA,"Cozy Luxury Apt in Boston/Backbay/Fenway/Symphony",2017-07-10 16:21:14,42.342447,-71.087059,"0101000020E6100000A374E95F92C551C081CEA44DD52B4540"
169430,1429,807320,"Entire home/apt",NA,"Boston",NA,"Roxbury",111,4.5,10,4,NA,150,NA,"Elegant Urban Art-Filled Victorian",2017-07-10 16:21:14,42.321582,-71.090472,"0101000020E61000000A4D124BCAC551C0BB7D569929294540"
658029,1429,1444340,"Entire home/apt",NA,"Boston",NA,"Roxbury",71,4.5,4,1,NA,163,NA,"Splendid 1 bedroom on Tremont St - #1",2017-07-10 16:21:14,42.339233,-71.081413,"0101000020E6100000081EDFDE35C551C0AB5CA8FC6B2B4540"
8302844,1429,1846434,"Entire home/apt",NA,"Boston",NA,"Downtown",110,4.5,4,0,NA,145,NA,"Historic servant's quarters in Beacon Hill",2017-07-10 16:21:11,42.361094,-71.062441,"0101000020E61000007E3B8908FFC351C013640454382E4540"
11739985,1429,35411494,"Entire home/apt",NA,"Boston",NA,"Jamaica Plain",60,5,5,2,NA,179,NA,"Two Room Master Suite with Spa Bath",2017-07-10 16:21:10,42.31779,-71.104897,"0101000020E6100000B41CE8A1B6C651C0787FBC57AD284540"
8556025,1429,45037374,"Entire home/apt",NA,"Boston",NA,"North End",140,5,4,2,NA,169,NA,"Historic North End Modern 2 Bed",2017-07-10 16:21:10,42.367585,-71.056305,"0101000020E61000007B6649809AC351C005C078060D2F4540"
4304969,1429,1723274,"Entire home/apt",NA,"Boston",NA,"North End",229,5,4,1,NA,159,NA,"Designer 1BR North End Modern Cove",2017-07-10 16:21:10,42.365733,-71.055358,"0101000020E61000009BE447FC8AC351C0B308C556D02E4540"
4275846,1429,2356643,"Entire home/apt",NA,"Boston",NA,"Downtown",98,4,2,1,NA,145,NA,"Boston Studio Across from Majestic Theater",2017-07-10 16:21:10,42.351227,-71.064081,"0101000020E6100000E1D231E719C451C0713C9F01F52C4540"
8340072,1429,43959997,"Entire home/apt",NA,"Boston",NA,"Downtown",63,4.5,4,1,NA,175,NA,"Location, Location and Location",2017-07-10 16:21:09,42.354934,-71.062387,"0101000020E6100000842C0B26FEC351C0861E317A6E2D4540"
