"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"I172092354","03201","Property Lost","PROPERTY - LOST","E13",657,NA,2017-11-03 19:30:00,2017,11,"Friday",19,"Part Three","CENTRE ST",42.30098889,-71.12708146,"(42.30098889, -71.12708146)"
"I172092315","03201","Property Lost","PROPERTY - LOST","D14",765,NA,2017-11-04 11:00:00,2017,11,"Saturday",11,"Part Three","NEWCASTLE RD",42.35380022,-71.16050525,"(42.35380022, -71.16050525)"
"I172092301","00301","Robbery","ROBBERY - STREET","B3",427,NA,2017-11-04 14:22:00,2017,11,"Saturday",14,"Part One","MILDRED AVE",42.27665388,-71.09121606,"(42.27665388, -71.09121606)"
"I172092251","03201","Property Lost","PROPERTY - LOST","A1",119,NA,2017-10-25 12:00:00,2017,10,"Wednesday",12,"Part Three","TREMONT ST",42.35540738,-71.06312433,"(42.35540738, -71.06312433)"
"I172092232","03201","Property Lost","PROPERTY - LOST","C6",936,NA,2017-11-03 00:00:00,2017,11,"Friday",0,"Part Three","ORTON-MAROTTA WAY",42.33802658,-71.05492863,"(42.33802658, -71.05492863)"
"I172092182","00301","Robbery","ROBBERY - STREET","E13",912,NA,2017-11-03 22:25:00,2017,11,"Friday",22,"Part One","PARKER ST",42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
"I172092175","03201","Property Lost","PROPERTY - LOST","A1",101,NA,2017-11-04 00:42:00,2017,11,"Saturday",0,"Part Three","COMMERCIAL ST",42.35932308,-71.05356026,"(42.35932308, -71.05356026)"
"I172092173","00361","Robbery","ROBBERY - OTHER","C6",175,NA,2017-11-03 22:53:00,2017,11,"Friday",22,"Part One","SOUTHAMPTON ST",42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
"I172092169","03208","Property Lost","PROPERTY - MISSING","B3",574,NA,2017-10-29 00:00:00,2017,10,"Sunday",0,"Part Three","WASHINGTON ST",42.30971857,-71.10429432,"(42.30971857, -71.10429432)"
"I172092139","02010","HOME INVASION","HOME INVASION","B3",565,NA,2017-11-03 19:25:00,2017,11,"Friday",19,NA,"HARVARD ST",42.29190075,-71.09029516,"(42.29190075, -71.09029516)"
