"INCIDENT_NUMBER","OFFENSE_CODE","OFFENSE_CODE_GROUP","OFFENSE_DESCRIPTION","DISTRICT","REPORTING_AREA","SHOOTING","OCCURRED_ON_DATE","YEAR","MONTH","DAY_OF_WEEK","HOUR","UCR_PART","STREET","Lat","Long","Location"
"I192060944","03201","Property Lost","PROPERTY - LOST","B3",452,NA,2017-06-01 00:00:00,2017,6,"Thursday",0,"Part Three","MERLIN ST",42.29572232,-71.07505157,"(42.29572232, -71.07505157)"
"I192059721","03201","Property Lost","PROPERTY - LOST","B3",474,NA,2017-07-01 09:00:00,2017,7,"Saturday",9,"Part Three","COLORADO ST",42.27446121,-71.10260406,"(42.27446121, -71.10260406)"
"I192056464","03201","Property Lost","PROPERTY - LOST","B3",467,NA,2017-12-25 00:00:00,2017,12,"Monday",0,"Part Three","HILLSBORO RD",42.28227628,-71.09713652,"(42.28227628, -71.09713652)"
"I192055662","03201","Property Lost","PROPERTY - LOST","C11",344,NA,2017-10-01 00:00:00,2017,10,"Sunday",0,"Part Three","CORONA ST",42.30097791,-71.07077333,"(42.30097791, -71.07077333)"
"I192048617","03201","Property Lost","PROPERTY - LOST","E13",572,NA,2017-02-27 15:30:00,2017,2,"Monday",15,"Part Three","WASHINGTON ST",42.31408519,-71.09998685,"(42.31408519, -71.09998685)"
"I192041965","03201","Property Lost","PROPERTY - LOST","C11",355,NA,2017-08-01 00:00:00,2017,8,"Tuesday",0,"Part Three","GIBSON ST",42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
"I192011711","03201","Property Lost","PROPERTY - LOST","A15",900,NA,2017-01-01 09:20:00,2017,1,"Sunday",9,"Part Three","WALFORD WAY",42.37850943,-71.0581776,"(42.37850943, -71.05817760)"
"I192004224","03201","Property Lost","PROPERTY - LOST","E18",527,NA,2017-01-13 08:00:00,2017,1,"Friday",8,"Part Three","HAMILTON ST",42.23604809,-71.131313,"(42.23604809, -71.13131300)"
"I192002276","03201","Property Lost","PROPERTY - LOST","A1",61,NA,2017-08-15 00:00:00,2017,8,"Tuesday",0,"Part Three","BEVERLY ST",42.36658726,-71.06019881,"(42.36658726, -71.06019881)"
"I182102218","03201","Property Lost","PROPERTY - LOST","B3",449,NA,2017-09-19 09:00:00,2017,9,"Tuesday",9,"Part Three","MILLET ST",42.29210002,-71.07634761,"(42.29210002, -71.07634761)"
"I182097356","03201","Property Lost","PROPERTY - LOST","B2",311,NA,2017-08-05 10:54:00,2017,8,"Saturday",10,"Part Three","EDGEWOOD ST",42.31845834,-71.08032338,"(42.31845834, -71.08032338)"
"I182097325","03201","Property Lost","PROPERTY - LOST","E18",492,NA,2017-05-01 08:54:00,2017,5,"Monday",8,"Part Three","HUNTINGTON AVE",42.26560754,-71.11608448,"(42.26560754, -71.11608448)"
"I182094587","03201","Property Lost","PROPERTY - LOST","B2",178,NA,2017-11-23 15:24:00,2017,11,"Thursday",15,"Part Three","MASSACHUSETTS AVE",42.33152148,-71.07085307,"(42.33152148, -71.07085307)"
"I182094101","03201","Property Lost","PROPERTY - LOST","D14",759,NA,2017-11-01 07:30:00,2017,11,"Wednesday",7,"Part Three","PERTHSHIRE RD",42.35360676,-71.16662133,"(42.35360676, -71.16662133)"
"I182093039","03201","Property Lost","PROPERTY - LOST","D4",630,NA,2017-12-17 00:00:00,2017,12,"Sunday",0,"Part Three","BEACON ST",42.34642641,-71.10611411,"(42.34642641, -71.10611411)"
"I182092552","03201","Property Lost","PROPERTY - LOST","B2",259,NA,2017-09-27 00:00:00,2017,9,"Wednesday",0,"Part Three","MAGNOLIA ST",42.31478432,-71.07160997,"(42.31478432, -71.07160997)"
"I182092368","03201","Property Lost","PROPERTY - LOST","B3",944,NA,2017-09-01 12:00:00,2017,9,"Friday",12,"Part Three","AMES WAY",42.28965805,-71.08634397,"(42.28965805, -71.08634397)"
"I182090757","03201","Property Lost","PROPERTY - LOST","C11",245,NA,2017-02-01 00:00:00,2017,2,"Wednesday",0,"Part Three","SUDAN ST",42.3166828,-71.05541001,"(42.31668280, -71.05541001)"
"I182089429","03201","Property Lost","PROPERTY - LOST","A1",111,NA,2017-09-01 08:00:00,2017,9,"Friday",8,"Part Three","WEST ST",42.35500441,-71.06300728,"(42.35500441, -71.06300728)"
"I182080162","03201","Property Lost","PROPERTY - LOST","D4",150,NA,2017-07-01 11:06:00,2017,7,"Saturday",11,"Part Three","COLUMBUS AVE",42.3445265,-71.0767905,"(42.34452650, -71.07679050)"
"I182076588","03201","Property Lost","PROPERTY - LOST","C11",359,NA,2017-09-22 00:00:00,2017,9,"Friday",0,"Part Three","TREMLETT ST",42.29527071,-71.06775815,"(42.29527071, -71.06775815)"
"I182073544","03201","Property Lost","PROPERTY - LOST","E13",NA,NA,2017-10-12 13:06:00,2017,10,"Thursday",13,"Part Three",NA,42.31580852,-71.09829029,"(42.31580852, -71.09829029)"
"I182069920","03201","Property Lost","PROPERTY - LOST","B2",287,NA,2017-08-31 12:08:00,2017,8,"Thursday",12,"Part Three","SHAWMUT AVE",42.33192532,-71.08411222,"(42.33192532, -71.08411222)"
"I182069334","03201","Property Lost","PROPERTY - LOST","B3",420,NA,2017-12-08 22:00:00,2017,12,"Friday",22,"Part Three","MORTON ST",42.27959103,-71.08132258,"(42.27959103, -71.08132258)"
"I182068912","03201","Property Lost","PROPERTY - LOST","A7",942,NA,2017-01-30 19:00:00,2017,1,"Monday",19,"Part Three","VALLAR RD",42.39269663,-71.00842413,"(42.39269663, -71.00842413)"
"I182065040","03201","Property Lost","PROPERTY - LOST","E18",540,NA,2017-12-15 11:00:00,2017,12,"Friday",11,"Part Three","SUNNYSIDE ST",42.25235422,-71.13180679,"(42.25235422, -71.13180679)"
"I182064673","03201","Property Lost","PROPERTY - LOST","E18",543,NA,2017-01-01 08:00:00,2017,1,"Sunday",8,"Part Three","CHILD ST",42.25549019,-71.12985322,"(42.25549019, -71.12985322)"
"I182058070","03201","Property Lost","PROPERTY - LOST","C11",335,NA,2017-01-01 00:00:00,2017,1,"Sunday",0,"Part Three","BOWDOIN ST",42.30648026,-71.06675783,"(42.30648026, -71.06675783)"
"I182057986","03201","Property Lost","PROPERTY - LOST","B3",457,NA,2017-01-23 00:00:00,2017,1,"Monday",0,"Part Three","ESMOND ST",42.29861988,-71.08511004,"(42.29861988, -71.08511004)"
"I182057297","03201","Property Lost","PROPERTY - LOST","B2",NA,NA,2017-11-11 19:00:00,2017,11,"Saturday",19,"Part Three","BLUE HILL AVE",NA,NA,"(0.00000000, 0.00000000)"
"I182055262","03201","Property Lost","PROPERTY - LOST","A1",73,NA,2017-12-31 00:00:00,2017,12,"Sunday",0,"Part Three","CENTER PLZ",42.35988372,-71.06016189,"(42.35988372, -71.06016189)"
"I182054520","03201","Property Lost","PROPERTY - LOST","E13",912,NA,2017-08-17 11:00:00,2017,8,"Thursday",11,"Part Three","CENTRE ST",42.32287413,-71.10155354,"(42.32287413, -71.10155354)"
"I182054270","03201","Property Lost","PROPERTY - LOST","C11",393,NA,2017-07-06 00:00:00,2017,7,"Thursday",0,"Part Three","DRACUT ST",42.28741838,-71.0619078,"(42.28741838, -71.06190780)"
"I182046517","03201","Property Lost","PROPERTY - LOST","A1",94,NA,2017-10-12 17:00:00,2017,10,"Thursday",17,"Part Three","FANEUIL HALL MARKETPLACE",42.35997967,-71.05474135,"(42.35997967, -71.05474135)"
"I182045998","03201","Property Lost","PROPERTY - LOST","E18",523,NA,2017-11-16 08:00:00,2017,11,"Thursday",8,"Part Three","HYDE PARK AVE",42.24826158,-71.12716914,"(42.24826158, -71.12716914)"
"I182045578","03201","Property Lost","PROPERTY - LOST","B2",604,NA,2017-12-31 20:00:00,2017,12,"Sunday",20,"Part Three","SACHEM ST",42.33151289,-71.10494901,"(42.33151289, -71.10494901)"
"I182045575","03201","Property Lost","PROPERTY - LOST","B2",306,NA,2017-06-12 14:06:00,2017,6,"Monday",14,"Part Three","WALNUT AVE",42.31681126,-71.09283155,"(42.31681126, -71.09283155)"
"I182044061","03201","Property Lost","PROPERTY - LOST","E18",940,NA,2017-12-25 15:03:00,2017,12,"Monday",15,"Part Three","BOW ST",42.24410679,-71.11786345,"(42.24410679, -71.11786345)"
"I182043343","03201","Property Lost","PROPERTY - LOST","E18",497,NA,2017-07-28 12:26:00,2017,7,"Friday",12,"Part Three","CRANE ST",42.27041231,-71.11722303,"(42.27041231, -71.11722303)"
"I182043335","03201","Property Lost","PROPERTY - LOST","A7",36,NA,2017-06-01 12:09:00,2017,6,"Thursday",12,"Part Three","HARBORSIDE DR",42.36252502,-71.02533782,"(42.36252502, -71.02533782)"
"I182041193","03201","Property Lost","PROPERTY - LOST","B2",293,NA,2017-05-29 12:09:00,2017,5,"Monday",12,"Part Three","LOGAN ST",42.32610373,-71.09042875,"(42.32610373, -71.09042875)"
"I182039103","03201","Property Lost","PROPERTY - LOST","B3",418,NA,2017-12-18 17:00:00,2017,12,"Monday",17,"Part Three","SELDEN ST",42.28089366,-71.08037468,"(42.28089366, -71.08037468)"
"I182037251","03208","Property Lost","PROPERTY - MISSING","E18",520,NA,2017-06-15 16:10:00,2017,6,"Thursday",16,"Part Three","HARVARD AVE",42.25706604,-71.12237932,"(42.25706604, -71.12237932)"
"I182035827","03208","Property Lost","PROPERTY - MISSING","A15",43,NA,2017-05-01 12:00:00,2017,5,"Monday",12,"Part Three","OLD IRONSIDES WAY",42.38020475,-71.057414,"(42.38020475, -71.05741400)"
"I182032796","03208","Property Lost","PROPERTY - MISSING","B2",295,NA,2017-04-01 00:00:00,2017,4,"Saturday",0,"Part Three","WALNUT AVE",42.32387286,-71.08366829,"(42.32387286, -71.08366829)"
"I182031579","03201","Property Lost","PROPERTY - LOST","C6",214,NA,2017-12-01 08:00:00,2017,12,"Friday",8,"Part Three","BOWEN ST",42.3366674,-71.05198556,"(42.33666740, -71.05198556)"
"I182030931","03201","Property Lost","PROPERTY - LOST","C11",340,NA,2017-08-08 19:37:00,2017,8,"Tuesday",19,"Part Three","MOUNT IDA RD",42.30629091,-71.06512497,"(42.30629091, -71.06512497)"
"I182030572","03201","Property Lost","PROPERTY - LOST","B2",326,NA,2017-11-01 10:00:00,2017,11,"Wednesday",10,"Part Three","FAYSTON ST",42.31341383,-71.07789593,"(42.31341383, -71.07789593)"
"I182029852","03201","Property Lost","PROPERTY - LOST","D4",625,NA,2017-09-01 14:59:00,2017,9,"Friday",14,"Part Three","QUEENSBERRY ST",42.34314406,-71.09589305,"(42.34314406, -71.09589305)"
"I182029787","03201","Property Lost","PROPERTY - LOST","B2",328,NA,2017-06-01 13:00:00,2017,6,"Thursday",13,"Part Three","INTERVALE ST",42.30984689,-71.0756633,"(42.30984689, -71.07566330)"
"I182027286","03201","Property Lost","PROPERTY - LOST","D14",756,NA,2017-06-01 07:00:00,2017,6,"Thursday",7,"Part Three","CHAMPNEY ST",42.3524123,-71.16878833,"(42.35241230, -71.16878833)"
"I182027011","03201","Property Lost","PROPERTY - LOST","A7",23,NA,2017-11-09 14:34:00,2017,11,"Thursday",14,"Part Three","MARION ST",42.37695059,-71.03646476,"(42.37695059, -71.03646476)"
"I182026713","03208","Property Lost","PROPERTY - MISSING","E5",660,NA,2017-11-17 00:00:00,2017,11,"Friday",0,"Part Three","VFW PKWY",42.29630635,-71.13626504,"(42.29630635, -71.13626504)"
"I182026509","03201","Property Lost","PROPERTY - LOST","B2",289,NA,2017-12-29 12:00:00,2017,12,"Friday",12,"Part Three","TREMONT ST",42.33402461,-71.09039049,"(42.33402461, -71.09039049)"
"I182026377","00301","Robbery","ROBBERY - STREET","D4",NA,NA,2017-05-12 21:00:00,2017,5,"Friday",21,"Part One",NA,NA,NA,"(0.00000000, 0.00000000)"
"I182025609","03201","Property Lost","PROPERTY - LOST","D4",273,NA,2017-09-14 13:00:00,2017,9,"Thursday",13,"Part Three","NORTHAMPTON ST",42.33665048,-71.07841035,"(42.33665048, -71.07841035)"
"I172056021","00301","Robbery","ROBBERY - STREET","C6",171,NA,2017-07-11 12:08:00,2017,7,"Tuesday",12,"Part One",NA,NA,NA,"(0.00000000, 0.00000000)"
"I182023085","03208","Property Lost","PROPERTY - MISSING","D4",903,NA,2017-10-20 14:09:00,2017,10,"Friday",14,"Part Three","TROTTER CT",42.33596847,-71.08129856,"(42.33596847, -71.08129856)"
"I182023051","03201","Property Lost","PROPERTY - LOST","B2",587,NA,2017-07-14 12:29:00,2017,7,"Friday",12,"Part Three","TREMONT ST",42.33153509,-71.09534648,"(42.33153509, -71.09534648)"
"I182022948","03201","Property Lost","PROPERTY - LOST","C11",366,NA,2017-09-18 23:00:00,2017,9,"Monday",23,"Part Three","SHEPTON ST",42.28995318,-71.06076101,"(42.28995318, -71.06076101)"
"I182022013","03201","Property Lost","PROPERTY - LOST","B3",466,NA,2017-09-19 14:00:00,2017,9,"Tuesday",14,"Part Three","OUTLOOK RD",42.28245514,-71.09448768,"(42.28245514, -71.09448768)"
"I182020039","03201","Property Lost","PROPERTY - LOST","E18",537,NA,2017-12-31 12:00:00,2017,12,"Sunday",12,"Part Three","KOVEY RD",42.25572061,-71.14071073,"(42.25572061, -71.14071073)"
"I182019836","03208","Property Lost","PROPERTY - MISSING","E18",553,NA,2017-02-01 14:21:00,2017,2,"Wednesday",14,"Part Three","LITTLEDALE ST",42.27355831,-71.12508267,"(42.27355831, -71.12508267)"
"I182019788","03201","Property Lost","PROPERTY - LOST","B3",429,NA,2017-08-01 00:00:00,2017,8,"Tuesday",0,"Part Three","WILDWOOD ST",42.28378654,-71.0871581,"(42.28378654, -71.08715810)"
"I182019588","03201","Property Lost","PROPERTY - LOST","B3",426,NA,2017-11-15 18:00:00,2017,11,"Wednesday",18,"Part Three","BLUE HILL AVE",42.26909851,-71.09361458,"(42.26909851, -71.09361458)"
"I182018849","03201","Property Lost","PROPERTY - LOST","B3",463,NA,2017-08-25 17:00:00,2017,8,"Friday",17,"Part Three","CALDER ST",42.29710452,-71.08807731,"(42.29710452, -71.08807731)"
"I182016920","03201","Property Lost","PROPERTY - LOST","E18",531,NA,2017-10-01 12:49:00,2017,10,"Sunday",12,"Part Three","BUCKINGHAM ST",42.24171455,-71.13413382,"(42.24171455, -71.13413382)"
"I182016500","03201","Property Lost","PROPERTY - LOST","C6",207,NA,2017-09-23 16:00:00,2017,9,"Saturday",16,"Part Three","NORTHERN AVE",42.34869812,-71.03861624,"(42.34869812, -71.03861624)"
"I182016462","03201","Property Lost","PROPERTY - LOST","A7",29,NA,2017-12-18 16:30:00,2017,12,"Monday",16,"Part Three","MAVERICK SQ",42.36943145,-71.03917179,"(42.36943145, -71.03917179)"
"I182015887","03201","Property Lost","PROPERTY - LOST","A7",26,NA,2017-11-16 11:54:00,2017,11,"Thursday",11,"Part Three","MERIDIAN ST",42.37996489,-71.03923314,"(42.37996489, -71.03923314)"
"I182014940","03201","Property Lost","PROPERTY - LOST","B3",421,NA,2017-12-20 12:00:00,2017,12,"Wednesday",12,"Part Three","DELHI ST",42.27436376,-71.09136935,"(42.27436376, -71.09136935)"
"I182013969","03201","Property Lost","PROPERTY - LOST","D4",168,NA,2017-12-21 15:00:00,2017,12,"Thursday",15,"Part Three","WASHINGTON ST",42.33816387,-71.07461217,"(42.33816387, -71.07461217)"
"I182013364","03201","Property Lost","PROPERTY - LOST","C6",175,NA,2017-10-01 00:00:00,2017,10,"Sunday",0,"Part Three","SOUTHAMPTON ST",42.33210843,-71.07014395,"(42.33210843, -71.07014395)"
"I182012435","03208","Property Lost","PROPERTY - MISSING","C11",355,NA,2017-11-25 00:00:00,2017,11,"Saturday",0,"Part Three","GIBSON ST",42.29755533,-71.0597091,"(42.29755533, -71.05970910)"
"I182012260","03208","Property Lost","PROPERTY - MISSING","C11",235,NA,2017-12-31 00:00:00,2017,12,"Sunday",0,"Part Three","MOSELEY ST",42.31972204,-71.05523096,"(42.31972204, -71.05523096)"
"I182011611","03201","Property Lost","PROPERTY - LOST","E18",489,NA,2017-06-03 12:00:00,2017,6,"Saturday",12,"Part Three","WOOD AVE",42.26693203,-71.11138401,"(42.26693203, -71.11138401)"
"I182011570","03201","Property Lost","PROPERTY - LOST","B2",259,NA,2017-07-01 00:00:00,2017,7,"Saturday",0,"Part Three","ALEXANDER ST",42.31458709,-71.07078303,"(42.31458709, -71.07078303)"
"I182010572","03201","Property Lost","PROPERTY - LOST","D4",171,NA,2017-12-01 10:00:00,2017,12,"Friday",10,"Part Three","HARRISON AVE",42.33534529,-71.07462805,"(42.33534529, -71.07462805)"
"I182010102","03201","Property Lost","PROPERTY - LOST","A1",78,NA,2017-11-10 00:00:00,2017,11,"Friday",0,"Part Three","UNION ST",42.36148163,-71.05719146,"(42.36148163, -71.05719146)"
"I182010068","03201","Property Lost","PROPERTY - LOST","A7",10,NA,2017-11-29 19:30:00,2017,11,"Wednesday",19,"Part Three","SARATOGA ST",42.38685489,-71.00738288,"(42.38685489, -71.00738288)"
"I182009476","03201","Property Lost","PROPERTY - LOST","E5",562,NA,2017-12-09 09:08:00,2017,12,"Saturday",9,"Part Three","WASHINGTON ST",42.28688203,-71.1276629,"(42.28688203, -71.12766290)"
"I182009024","03201","Property Lost","PROPERTY - LOST","D4",624,NA,2017-12-08 00:00:00,2017,12,"Friday",0,"Part Three","BOYLSTON ST",42.34456196,-71.09781939,"(42.34456196, -71.09781939)"
"I182008822","03201","Property Lost","PROPERTY - LOST","A1",117,NA,2017-01-21 21:00:00,2017,1,"Saturday",21,"Part Three","STUART ST",42.35103105,-71.06373331,"(42.35103105, -71.06373331)"
"I182008740","03201","Property Lost","PROPERTY - LOST","D4",143,NA,2017-12-30 22:00:00,2017,12,"Saturday",22,"Part Three","BOYLSTON ST",42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
"I182008738","03201","Property Lost","PROPERTY - LOST","B2",304,NA,2017-10-01 00:00:00,2017,10,"Sunday",0,"Part Three","WEAVER CT",42.32146105,-71.09681729,"(42.32146105, -71.09681729)"
"I182008025","03201","Property Lost","PROPERTY - LOST","C11",254,NA,2017-10-02 18:30:00,2017,10,"Monday",18,"Part Three","DORCHESTER AVE",42.30782846,-71.05837474,"(42.30782846, -71.05837474)"
"I182007955","03201","Property Lost","PROPERTY - LOST","B2",314,NA,2017-10-01 12:00:00,2017,10,"Sunday",12,"Part Three","HOLLANDER ST",42.3156892,-71.08951391,"(42.31568920, -71.08951391)"
"I182007721","03208","Property Lost","PROPERTY - MISSING","C11",397,NA,2017-12-15 13:00:00,2017,12,"Friday",13,"Part Three","WAINWRIGHT ST",42.29039567,-71.06705308,"(42.29039567, -71.06705308)"
"I182007013","03201","Property Lost","PROPERTY - LOST","D14",802,NA,2017-09-17 23:00:00,2017,9,"Sunday",23,"Part Three","BRIGHTON AVE",42.35315862,-71.13289373,"(42.35315862, -71.13289373)"
"I182006248","03201","Property Lost","PROPERTY - LOST","C6",914,NA,2017-04-01 12:00:00,2017,4,"Saturday",12,"Part Three","COLONEL MICHAEL J. MCDONO",42.32790482,-71.05305583,"(42.32790482, -71.05305583)"
"I182006211","03201","Property Lost","PROPERTY - LOST","A1",84,NA,2017-12-24 11:13:00,2017,12,"Sunday",11,"Part Three","LAWN ST",42.32701648,-71.10555088,"(42.32701648, -71.10555088)"
"I182005211","03201","Property Lost","PROPERTY - LOST","B3",422,NA,2017-11-18 09:30:00,2017,11,"Saturday",9,"Part Three","RIVER ST",42.27132363,-71.08183509,"(42.27132363, -71.08183509)"
"I182004970","03208","Property Lost","PROPERTY - MISSING","B3",446,NA,2017-10-30 08:00:00,2017,10,"Monday",8,"Part Three","SHAFTER ST",42.29895336,-71.0768587,"(42.29895336, -71.07685870)"
"I182004939","03201","Property Lost","PROPERTY - LOST","B3",430,NA,2017-10-03 13:00:00,2017,10,"Tuesday",13,"Part Three","BLUE HILL AVE",42.28451318,-71.09125682,"(42.28451318, -71.09125682)"
"I182004919","03201","Property Lost","PROPERTY - LOST","C6",936,NA,2017-11-16 20:00:00,2017,11,"Thursday",20,"Part Three","DALESSIO CT",42.3379028,-71.05611348,"(42.33790280, -71.05611348)"
"I182004635","03201","Property Lost","PROPERTY - LOST","C6",208,NA,2017-12-26 05:00:00,2017,12,"Tuesday",5,"Part Three","WILLIAM J DAY BLVD",42.33876607,-71.01873592,"(42.33876607, -71.01873592)"
"I182004540","03201","Property Lost","PROPERTY - LOST","C6",256,NA,2017-08-01 18:48:00,2017,8,"Tuesday",18,"Part Three","WILLIAM T MORRISSEY BLVD",42.31682137,-71.04842736,"(42.31682137, -71.04842736)"
"I182002677","03201","Property Lost","PROPERTY - LOST","E5",721,NA,2017-12-26 00:00:00,2017,12,"Tuesday",0,"Part Three","SPRING ST",42.27694956,-71.16506704,"(42.27694956, -71.16506704)"
"I182002522","03201","Property Lost","PROPERTY - LOST","E5",680,NA,2017-01-10 09:00:00,2017,1,"Tuesday",9,"Part Three","WASHINGTON ST",42.28471678,-71.12998991,"(42.28471678, -71.12998991)"
"I182002487","03201","Property Lost","PROPERTY - LOST","E18",498,NA,2017-10-25 09:00:00,2017,10,"Wednesday",9,"Part Three","HYDE PARK AVE",42.27380942,-71.11996035,"(42.27380942, -71.11996035)"
"I182002475","00301","Robbery","ROBBERY - STREET","A1",115,NA,2017-12-13 23:44:00,2017,12,"Wednesday",23,"Part One","BOYLSTON ST",42.3523119,-71.0637051,"(42.35231190, -71.06370510)"
"I182002437","03201","Property Lost","PROPERTY - LOST","E13",640,NA,2017-12-01 07:00:00,2017,12,"Friday",7,"Part Three","CHESTNUT AVE",42.31693791,-71.10687901,"(42.31693791, -71.10687901)"
"I182002416","03201","Property Lost","PROPERTY - LOST","E5",685,NA,2017-12-01 00:00:00,2017,12,"Friday",0,"Part Three","CORNELL ST",42.28090111,-71.13757375,"(42.28090111, -71.13757375)"
"I182001959","03201","Property Lost","PROPERTY - LOST","A1",106,NA,2017-12-29 10:30:00,2017,12,"Friday",10,"Part Three","ATLANTIC AVE",42.35218278,-71.0556788,"(42.35218278, -71.05567880)"
"I182001812","03201","Property Lost","PROPERTY - LOST","C11",377,NA,2017-12-24 15:00:00,2017,12,"Sunday",15,"Part Three","ARBROTH ST",42.29049765,-71.05206432,"(42.29049765, -71.05206432)"
"I182001763","03201","Property Lost","PROPERTY - LOST","A15",427,NA,2017-10-11 09:55:00,2017,10,"Wednesday",9,"Part Three","WARREN ST",42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
"I182001744","03201","Property Lost","PROPERTY - LOST","D4",142,NA,2017-12-24 12:00:00,2017,12,"Sunday",12,"Part Three","NEWBURY ST",42.34895777,-71.08489204,"(42.34895777, -71.08489204)"
"I182001170","03201","Property Lost","PROPERTY - LOST","E13",912,NA,2017-12-25 11:30:00,2017,12,"Monday",11,"Part Three","PARKER ST",42.32469443,-71.10087902,"(42.32469443, -71.10087902)"
"I182001106","03201","Property Lost","PROPERTY - LOST","A15",40,NA,2017-12-29 22:00:00,2017,12,"Friday",22,"Part Three","ADAMS ST",42.37427412,-71.0590238,"(42.37427412, -71.05902380)"
"I182001103","03201","Property Lost","PROPERTY - LOST","B3",431,NA,2017-12-29 07:00:00,2017,12,"Friday",7,"Part Three","LUCERNE ST",42.28792347,-71.08815774,"(42.28792347, -71.08815774)"
"I182000782","00301","Robbery","ROBBERY - STREET","A1",101,NA,2017-12-30 01:00:00,2017,12,"Saturday",1,"Part One","BROAD ST",42.35919555,-71.05463831,"(42.35919555, -71.05463831)"
"I182000709","03201","Property Lost","PROPERTY - LOST","D4",143,NA,2017-12-28 13:00:00,2017,12,"Thursday",13,"Part Three","BOYLSTON ST",42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
"I182000654","03208","Property Lost","PROPERTY - MISSING","B2",612,NA,2017-12-27 18:15:00,2017,12,"Wednesday",18,"Part Three","FRANCIS ST",42.33606304,-71.10782832,"(42.33606304, -71.10782832)"
"I182000618","03201","Property Lost","PROPERTY - LOST","A1",61,NA,2017-12-29 19:00:00,2017,12,"Friday",19,"Part Three","LEGENDS WAY",42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
"I182000555","03201","Property Lost","PROPERTY - LOST","C6",200,NA,2017-12-31 19:30:00,2017,12,"Sunday",19,"Part Three","W BROADWAY",42.34096914,-71.05418723,"(42.34096914, -71.05418723)"
"I182000476","03201","Property Lost","PROPERTY - LOST","A1",108,NA,2017-12-30 00:30:00,2017,12,"Saturday",0,"Part Three","HIGH ST",42.35407456,-71.05533533,"(42.35407456, -71.05533533)"
"I182000446","03201","Property Lost","PROPERTY - LOST","A1",93,NA,2017-12-20 21:00:00,2017,12,"Wednesday",21,"Part Three","FANEUIL HALL SQ",42.36020464,-71.05620816,"(42.36020464, -71.05620816)"
"I182000420","03201","Property Lost","PROPERTY - LOST","D4",128,NA,2017-12-31 19:20:00,2017,12,"Sunday",19,"Part Three","STUART ST",42.34923356,-71.0732809,"(42.34923356, -71.07328090)"
"I182000390","03201","Property Lost","PROPERTY - LOST","C11",358,NA,2017-12-30 09:00:00,2017,12,"Saturday",9,"Part Three","WALDECK ST",42.29881968,-71.06570084,"(42.29881968, -71.06570084)"
"I182000357","03201","Property Lost","PROPERTY - LOST","D14",777,NA,2017-12-19 09:00:00,2017,12,"Tuesday",9,"Part Three","WASHINGTON ST",42.34855061,-71.15007628,"(42.34855061, -71.15007628)"
"I182000336","03201","Property Lost","PROPERTY - LOST","B3",420,NA,2017-12-23 12:00:00,2017,12,"Saturday",12,"Part Three","LENA TER",42.27770018,-71.08496814,"(42.27770018, -71.08496814)"
"I172101751","00361","Robbery","ROBBERY - OTHER","A1",101,NA,2017-12-08 07:53:00,2017,12,"Friday",7,"Part One","STATE ST",42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
"I182000193","03201","Property Lost","PROPERTY - LOST","C6",206,NA,2017-12-31 01:00:00,2017,12,"Sunday",1,"Part Three","FARNSWORTH ST",42.35156644,-71.04835172,"(42.35156644, -71.04835172)"
"I182000152","03201","Property Lost","PROPERTY - LOST","D4",274,NA,2017-12-26 12:00:00,2017,12,"Tuesday",12,"Part Three","TREMONT ST",42.33766029,-71.08339201,"(42.33766029, -71.08339201)"
"I182000008","00301","Robbery","ROBBERY - STREET","A1",NA,NA,2017-12-31 00:00:00,2017,12,"Sunday",0,"Part One","SCHOOL ST",NA,NA,"(0.00000000, 0.00000000)"
"I172107678","00301","Robbery","ROBBERY - STREET","E5",562,NA,2017-12-31 21:18:00,2017,12,"Sunday",21,"Part One","BASILE ST",42.28665378,-71.12665398,"(42.28665378, -71.12665398)"
"I172107611","00361","Robbery","ROBBERY - OTHER","B3",427,NA,2017-12-31 15:25:00,2017,12,"Sunday",15,"Part One","RIVER ST",42.26956689,-71.09075049,"(42.26956689, -71.09075049)"
"I172107575","03201","Property Lost","PROPERTY - LOST","D4",128,NA,2017-12-30 23:00:00,2017,12,"Saturday",23,"Part Three","COLUMBUS AVE",42.3483427,-71.0722253,"(42.34834270, -71.07222530)"
"I172107564","03201","Property Lost","PROPERTY - LOST","A1",91,NA,2017-12-30 16:00:00,2017,12,"Saturday",16,"Part Three","ATLANTIC AVE",42.3613248,-71.05243553,"(42.36132480, -71.05243553)"
"I172107540","03201","Property Lost","PROPERTY - LOST","B3",468,NA,2017-12-30 09:00:00,2017,12,"Saturday",9,"Part Three","WALK HILL ST",42.27791465,-71.09452937,"(42.27791465, -71.09452937)"
"I172107538","03201","Property Lost","PROPERTY - LOST","E18",501,NA,2017-12-31 01:30:00,2017,12,"Sunday",1,"Part Three","HYDE PARK AVE",42.279267,-71.11900247,"(42.27926700, -71.11900247)"
"I172107528","03201","Property Lost","PROPERTY - LOST","D4",NA,NA,2017-12-30 20:30:00,2017,12,"Saturday",20,"Part Three","CHARLESGATE E",NA,NA,"(0.00000000, 0.00000000)"
